Keyword,Occurrences,Variants encountered,Top URLs
leipzig,33001,"leipzig, leipziger, leipzigs",[http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=leipzig&size=50&PHPSESSID=955lvgqukrk1fs3nu8c3ba0q13:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=-internship&q=leipzig*&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4&size=50&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=leipzig&PHPSESSID=dmccrertsc87s48ftm192pjfu6&size=50&PHPSESSID=dmccrertsc87s48ftm192pjfu6:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=leipzig&PHPSESSID=955lvgqukrk1fs3nu8c3ba0q13&PHPSESSID=955lvgqukrk1fs3nu8c3ba0q13:http://wwwdup.uni-leipzig.de/jobportal/job/index?f=-internship&q=&PHPSESSID=vvmb4ab14fpe2ffn0angh9a6m5:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=Microsoft+OR+Excel+OR+Access+OR+Word+OR+Powerpoint+OR+MSOffice&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3&size=50&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=marketing&PHPSESSID=dmccrertsc87s48ftm192pjfu6&size=50&PHPSESSID=dmccrertsc87s48ftm192pjfu6:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=3&q=leipzig&PHPSESSID=1h404sk4f7dhhl1l66p7o7kfv1&PHPSESSID=1h404sk4f7dhhl1l66p7o7kfv1:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=-internship&PHPSESSID=e2j7a8n6g426hba49td34vlam0&PHPSESSID=e2j7a8n6g426hba49td34vlam0:http://wwwdup.uni-leipzig.de/jobportal/job/index?tab=internship&src=eq&q=Microsoft+OR+Excel+OR+Access+OR+Word+OR+Powerpoint+OR+MSOffice&PHPSESSID=a19q65qiu7v17rr0aob6nac396]
jobportal,18889,"jobportal, jobportals, jobportalen, jobportale",[http://wwwdup.uni-leipzig.de/jobportal/docs/embed.html:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=4&tab=all&q=HTML+OR+CSS&PHPSESSID=frafif68v031lgsf8cqchqork6&PHPSESSID=frafif68v031lgsf8cqchqork6:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=4&tab=all&q=datenbank*+OR+database+OR+mysql+OR+postgres*+OR+oracle&PHPSESSID=otg2nc51m428ed8fs8jabqri67&PHPSESSID=otg2nc51m428ed8fs8jabqri67:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=6&PHPSESSID=tkmpmi38f0p9aa8rinvg9t17i4&PHPSESSID=tkmpmi38f0p9aa8rinvg9t17i4:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=6&q=HTML+OR+CSS&PHPSESSID=ddp4i3l25mr2g52ef2r6nj5gr6&PHPSESSID=ddp4i3l25mr2g52ef2r6nj5gr6:http://wwwdup.uni-leipzig.de/jobportal/job/index?q=cc:universittleipzigcareercenter:http://wwwdup.uni-leipzig.de/jobportal/job/index?q=cc:universittleipzigcareercenter&src=more-from-company:http://wwwdup.uni-leipzig.de/jobportal/job/index?tab=all&q=MySQL*+PHP*&PHPSESSID=js71v5fdfr3o7f21m521e4kcb6:http://wwwdup.uni-leipzig.de/jobportal/job/index?tab=all&src=eq&q=HTML+OR+CSS&PHPSESSID=hdcjjt6jmsb1afp9q25k22r4v1:http://wwwdup.uni-leipzig.de/jobportal/job/index?tab=all&src=eq&q=studentische&PHPSESSID=as8d1qu4d580lk4ubhdvp9su32]
universität,17166,"universität, universitäten, universitäts",[http://wwwdup.uni-leipzig.de/jobportal/job/1243:http://wwwdup.uni-leipzig.de/jobportal/job/1364:http://wwwdup.uni-leipzig.de/jobportal/job/1727:http://wwwdup.uni-leipzig.de/jobportal/job/2442:http://wwwdup.uni-leipzig.de/jobportal/job/2442?PHPSESSID=8s44c64hljke5nd4q2l2veqrj0:http://wwwdup.uni-leipzig.de/jobportal/job/315:http://wwwdup.uni-leipzig.de/jobportal/list/companies?sort=name&PHPSESSID=8e4qq88v20g9bdqf9d8fiavid4:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=wissenschaft&PHPSESSID=e2j7a8n6g426hba49td34vlam0&size=20&PHPSESSID=e2j7a8n6g426hba49td34vlam0:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=wissenschaft&PHPSESSID=e2j7a8n6g426hba49td34vlam0&size=50&PHPSESSID=e2j7a8n6g426hba49td34vlam0:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=wissenschaft&PHPSESSID=ejb3ubhgf2mc4lnuuimrnsmbm7&PHPSESSID=ejb3ubhgf2mc4lnuuimrnsmbm7]
career,15818,"career, careers",[http://wwwdup.uni-leipzig.de/jobportal/job/2138:http://wwwdup.uni-leipzig.de/jobportal/job/2138?from=MySQL*+PHP*&PHPSESSID=g909a6jhsq4am2ga3qo3enpo51:http://wwwdup.uni-leipzig.de/jobportal/job/2215:http://wwwdup.uni-leipzig.de/jobportal/job/2215?from=cc%3Atechnischeuniversittchemnitz&PHPSESSID=062ceofm97be1ehh293odtq6t5:http://wwwdup.uni-leipzig.de/jobportal/job/2215?from=marketing*&PHPSESSID=nhf8qt2pmbfim6olru85man213:http://wwwdup.uni-leipzig.de/jobportal/job/1639:http://wwwdup.uni-leipzig.de/jobportal/job/424:http://wwwdup.uni-leipzig.de/jobportal/job/2138?PHPSESSID=31r33ep7voa6ab0l1n8ldap8u3:http://wwwdup.uni-leipzig.de/jobportal/job/2138?from=Leipzig*&PHPSESSID=bitv9022qd2lghe58m5cs0lg75:http://wwwdup.uni-leipzig.de/jobportal/job/2138?from=leipzig*&PHPSESSID=bieidqut3dcll56rfqm0qlo4l6]
uhr,13631,uhr,[http://wwwdup.uni-leipzig.de/jobportal/job/2186:http://wwwdup.uni-leipzig.de/jobportal/job/2186?PHPSESSID=ksbcd0u5gubn224o2doa9o36g7:http://wwwdup.uni-leipzig.de/jobportal/job/2186?PHPSESSID=p2j0a3it3aq8qap9vn2d55gcn6:http://wwwdup.uni-leipzig.de/jobportal/job/2186?PHPSESSID=tgtpa1n4k7qmhuskdkriffq2m1:http://wwwdup.uni-leipzig.de/jobportal/job/2052?from=leipzig*&PHPSESSID=955lvgqukrk1fs3nu8c3ba0q13:http://wwwdup.uni-leipzig.de/jobportal/job/2101:http://wwwdup.uni-leipzig.de/jobportal/job/2101?from=sport*&PHPSESSID=vn3bobcppgc22ginfapc5fd2k5:http://wwwdup.uni-leipzig.de/jobportal/job/873?from=Berlin&PHPSESSID=bitv9022qd2lghe58m5cs0lg75:http://wwwdup.uni-leipzig.de/jobportal/job/873?from=Berlin+%5BEinsatzort%3ADresden%5D:http://wwwdup.uni-leipzig.de/jobportal/job/874]
praktikum,11571,"praktikum, praktikums, praktika",[http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=praktik*&PHPSESSID=dmccrertsc87s48ftm192pjfu6&size=50&PHPSESSID=dmccrertsc87s48ftm192pjfu6:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=praktik&PHPSESSID=mk1jngra5rhft1b0puvd29a1k0&size=50&PHPSESSID=mk1jngra5rhft1b0puvd29a1k0:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=3&tab=all&q=praktik*+OR+werkstudent+OR+volontariat+OR+shk&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=kultur+OR+theater+OR+verlag+OR+geisteswiss*+OR+kulturwiss*+OR+NGO+OR+redaktion&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3&size=50&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3:http://wwwdup.uni-leipzig.de/jobportal/job/index?tab=internship&PHPSESSID=a19q65qiu7v17rr0aob6nac396:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=HTML+OR+CSS&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3&size=50&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=internship&PHPSESSID=a19q65qiu7v17rr0aob6nac396&size=50&PHPSESSID=a19q65qiu7v17rr0aob6nac396:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=kultur+OR+theater+OR+verlag+OR+geisteswiss*+OR+kulturwiss*+OR+NGO+OR+redaktion&PHPSESSID=frafif68v031lgsf8cqchqork6&size=20&PHPSESSID=frafif68v031lgsf8cqchqork6:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=kultur+OR+theater+OR+verlag+OR+geisteswiss*+OR+kulturwiss*+OR+NGO+OR+redaktion&PHPSESSID=frafif68v031lgsf8cqchqork6&size=50&PHPSESSID=frafif68v031lgsf8cqchqork6:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=kultur+OR+theater+OR+verlag+OR+geisteswiss*+OR+kulturwiss*+OR+NGO+OR+redaktion&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3]
gmbh,9563,gmbh,[http://wwwdup.uni-leipzig.de/jobportal/list/companies:http://wwwdup.uni-leipzig.de/jobportal/list/companies?sort=name&PHPSESSID=8e4qq88v20g9bdqf9d8fiavid4:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=marketing&PHPSESSID=dmccrertsc87s48ftm192pjfu6&size=50&PHPSESSID=dmccrertsc87s48ftm192pjfu6:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=HTML+OR+CSS&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3&size=50&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=3&tab=all&q=praktik*+OR+werkstudent+OR+volontariat+OR+shk&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&l=i11n&q=marketing&PHPSESSID=ejb3ubhgf2mc4lnuuimrnsmbm7&PHPSESSID=ejb3ubhgf2mc4lnuuimrnsmbm7:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=6&PHPSESSID=3995cmv9ad80srdo01daamdgr2&PHPSESSID=3995cmv9ad80srdo01daamdgr2:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=-internship&q=leipzig*&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4&size=50&PHPSESSID=2anpp3ei7acohh9me6jqvpvlm4:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=leipzig&size=50&PHPSESSID=955lvgqukrk1fs3nu8c3ba0q13:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=praktik*&PHPSESSID=dmccrertsc87s48ftm192pjfu6&size=50&PHPSESSID=dmccrertsc87s48ftm192pjfu6]
facebook,8786,facebook,[http://wwwdup.uni-leipzig.de/jobportal/job/1168:http://wwwdup.uni-leipzig.de/jobportal/job/202:http://wwwdup.uni-leipzig.de/jobportal/job/2530:http://wwwdup.uni-leipzig.de/jobportal/job/850:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Neu-Isenburg&PHPSESSID=2t2fsvdg5a3j4ec726i43olhv1&PHPSESSID=2t2fsvdg5a3j4ec726i43olhv1:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Neu-Isenburg&PHPSESSID=2t2fsvdg5a3j4ec726i43olhv1&size=10&PHPSESSID=2t2fsvdg5a3j4ec726i43olhv1:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Neu-Isenburg&PHPSESSID=2t2fsvdg5a3j4ec726i43olhv1&size=20&PHPSESSID=2t2fsvdg5a3j4ec726i43olhv1:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=Neu-Isenburg&PHPSESSID=2t2fsvdg5a3j4ec726i43olhv1&size=50&PHPSESSID=2t2fsvdg5a3j4ec726i43olhv1:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=werkstudent&PHPSESSID=frafif68v031lgsf8cqchqork6&PHPSESSID=frafif68v031lgsf8cqchqork6:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=werkstudent&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3&size=50&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3]
marketing,7120,"marketing, marketings",[http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&l=i11n&q=marketing&PHPSESSID=ejb3ubhgf2mc4lnuuimrnsmbm7&PHPSESSID=ejb3ubhgf2mc4lnuuimrnsmbm7:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=marketing&PHPSESSID=dmccrertsc87s48ftm192pjfu6&size=50&PHPSESSID=dmccrertsc87s48ftm192pjfu6:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=2&q=marketing&PHPSESSID=e2j7a8n6g426hba49td34vlam0&PHPSESSID=e2j7a8n6g426hba49td34vlam0:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=marketing&PHPSESSID=m0khm89v8i7vvjlpf7kjfnc8a2&size=20&PHPSESSID=m0khm89v8i7vvjlpf7kjfnc8a2:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=marketing&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3&size=20&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=HTML+OR+CSS&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3&size=50&PHPSESSID=melicf0ft4bnvjpal5sll1gnf3:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&tab=all&q=marketing&PHPSESSID=vhau4dv4ma35cvuoc8q0b62hc1&size=20&PHPSESSID=vhau4dv4ma35cvuoc8q0b62hc1:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&PHPSESSID=d92tg7ur1al18ieeb01phhh6t3&size=50&PHPSESSID=d92tg7ur1al18ieeb01phhh6t3:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=praktik*&PHPSESSID=dmccrertsc87s48ftm192pjfu6&size=50&PHPSESSID=dmccrertsc87s48ftm192pjfu6:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=praktik&PHPSESSID=mk1jngra5rhft1b0puvd29a1k0&size=50&PHPSESSID=mk1jngra5rhft1b0puvd29a1k0]
jobs,5471,"jobs, job",[http://wwwdup.uni-leipzig.de/jobportal/docs/embed.html:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=leipzig&PHPSESSID=dmccrertsc87s48ftm192pjfu6&size=50&PHPSESSID=dmccrertsc87s48ftm192pjfu6:http://wwwdup.uni-leipzig.de/jobportal/job/index?f=-internship&q=&PHPSESSID=vvmb4ab14fpe2ffn0angh9a6m5:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&PHPSESSID=o6gq1dgj5oa2bbmc9l938qb5m1&size=50&PHPSESSID=o6gq1dgj5oa2bbmc9l938qb5m1:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=cc%3Asprdnetag:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=leipzig&size=50&PHPSESSID=955lvgqukrk1fs3nu8c3ba0q13:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&size=20:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=4&PHPSESSID=tkmpmi38f0p9aa8rinvg9t17i4&PHPSESSID=tkmpmi38f0p9aa8rinvg9t17i4:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=leipzig&PHPSESSID=955lvgqukrk1fs3nu8c3ba0q13&PHPSESSID=955lvgqukrk1fs3nu8c3ba0q13:http://wwwdup.uni-leipzig.de/jobportal/job/index?page=3&PHPSESSID=crf6necnjpi4cpqan2j9lbj6l4&PHPSESSID=crf6necnjpi4cpqan2j9lbj6l4]
