Your pages,Links,Source domains
/site/login,"18,493",1
/docs/2011_04_21_Einstellung_eines_Angebotes_im_Jobportal.pdf,"7,871",2
/job/download/1647.pdf,423,2
http://wwwdup.uni-leipzig.de/jobportal/,256,9
/job/download/1646.pdf,216,2
/job/download/2259.pdf,188,4
/job/download/2221.pdf,154,4
/job/download/1633.pdf,83,5
/job/download/2087.pdf?PHPSESSID=1sfafg4f9epfniegor2ri18ma0,65,7
/job/download/2088.pdf,57,6
/job/download/2247.pdf,50,2
/job/download/2220.pdf,48,5
/job/download/2219.pdf,42,4
/job/download/2368.pdf,35,2
/job/download/2426.pdf,29,7
/job/download/1765.pdf,25,6
/job/download/1724.pdf,25,5
/job/download/1769.pdf,24,5
/job/download/1621.pdf?PHPSESSID=ho6pnon1ln01mm2gg1megng4m1,22,2
/job/download/1766.pdf,21,6
/job/download/1954.pdf,19,5
/job/download/282.pdf?PHPSESSID=l4cp5ufq388k32gt0jh5osk935,18,3
/job/download/2215.pdf,17,2
/job/download/2150.pdf,16,2
/job/download/2091.pdf,15,5
/job/download/1862.pdf,15,3
/job/download/1481.pdf,13,2
/job/download/1763.pdf,12,3
/job/download/1854.pdf,11,3
/job/download/1376.pdf,11,3
/job/download/1735.pdf,10,2
/job/download/2317.pdf,9,5
/job/download/1375.pdf,8,3
/job/download/1374.pdf,8,3
/job/download/1857.pdf,8,3
/job/download/1855.pdf,8,3
/job/download/1377.pdf,8,3
/job/download/2115.pdf,7,4
/job/download/2318.pdf,7,2
/job/download/2248.pdf,7,3
/job/download/2319.pdf,7,4
/job/download/1804.pdf,7,3
/job/download/1598.pdf,7,2
/job/download/2316.pdf,6,2
/job/download/2320.pdf,6,2
/job/download/2104.pdf,6,3
/job/download/2388.pdf,5,3
/job/download/1201.pdf,5,3
/job/download/1994.pdf,5,4
/job/download/2308.pdf,5,3
/job/download/1741.pdf,4,2
/job/download/2392.pdf,4,2
/job/download/2321.pdf,4,2
/job/download/1446.pdf,4,3
/job/download/1861.pdf,4,2
/job/download/2169.pdf,4,2
/job/download/2343.pdf,4,2
/job/download/1823.pdf,4,3
/job/download/1623.pdf,4,2
/job/download/2398.pdf,4,2
/job/download/2360.pdf,4,3
/job/download/2408.pdf?PHPSESSID=4lr2c8iqb2074676ebt2kq6li5,4,2
/job/download/1609.pdf,4,2
/job/download/2408.pdf,4,3
/job/download/2210.pdf,4,3
/job/download/1810.pdf,4,3
