All,All locations,"Apr 1, 2011 to May 1, 2011",

Query,Impressions,Change,Clicks,Change,CTR,Change,Avg. position,Change
gq.de,"1,000",,<10,∞,-,,9.4,-1.0
mdr volontariat,400,∞,<10,∞,-,,6.1,
uni leipzig sport,150,∞,<10,∞,-,,4.6,
qsells,150,-53%,<10,∞,-,,5.2,-2.0
volontariat mdr,110,∞,<10,∞,-,,6.8,
api leipzig,110,-66%,<10,∞,-,,8.6,-2.0
lindenpartners,110,∞,<10,∞,-,,9.0,
avanade,90,-64%,<10,∞,-,,10,-3.0
lotum gmbh,50,∞,<10,∞,-,,10,
netsportique,50,67%,<10,∞,-,,7.0,-1.0
bild leipzig,50,-17%,<10,∞,-,,19,-3.0
fubis,50,-55%,<10,∞,-,,8.3,-0.3
itaricon,50,-44%,<10,∞,-,,9.9,-2.0
studentische hilfskraft steuern,35,192%,<10,∞,-,,9.7,-3.0
mitteldeutscher rundfunk leipzig,35,∞,<10,∞,-,,8.9,
vertriebstrainer,35,∞,<10,∞,-,,69,
red bull fuschl,30,36%,<10,∞,-,,10,0.2
södertörn university,30,-14%,<10,∞,-,,7.6,-1.0
mdr jobs,30,∞,<10,∞,-,,9.0,
btelligent,30,-50%,<10,∞,-,,6.5,-1.0
mercator-stiftung,30,-14%,<10,∞,-,,11,-2.0
personalentwicklungskonzept,22,∞,<10,∞,-,,36,
firmenlauf leipzig 2011,22,-56%,<10,∞,-,,9.0,-0.9
mercatorstiftung,22,-27%,<10,∞,-,,7.7,-0.4
externes rechnungswesen uni leipzig,22,∞,<10,∞,-,,4.4,
job mit russisch,22,83%,<10,∞,-,,16,20
lusini,22,-94%,<10,∞,-,,9.1,0.1
praktikum gesundheitsmanagement,22,-69%,<10,∞,-,,14,-4.0
erasmus london,22,,<10,∞,-,,8.9,3.0
intraduct,16,-27%,<10,∞,-,,10,-2.0
hsg uni leipzig,16,∞,<10,∞,-,,3.0,
www.amazon-operations.de,16,-68%,<10,∞,-,,7.3,1.0
redaktionsvolontariat,16,∞,<10,∞,-,,22,
www.jobimpuuls.de,16,∞,<10,∞,-,,9.4,
pc ware leipzig jobs,16,∞,<10,∞,-,,9.1,
uni leipzig sportangebot,16,∞,<10,∞,-,,4.6,
thomson reuters leipzig,16,∞,<10,∞,-,,8.7,
itaricon dresden,16,∞,<10,∞,-,,6.3,
praktikum london,16,33%,<10,∞,-,,69,-20
mercator stiftung berlin,16,∞,<10,∞,-,,7.5,
analyticsw,16,-27%,<10,∞,-,,5.9,-1.0
online marketing berlin,16,,<10,∞,-,,140,-50
uni leipzig hsg,12,∞,<10,∞,-,,3.0,
rehazentrum zwickau,12,∞,<10,∞,-,,12,
sportstudenten,12,∞,<10,∞,-,,14,
jobs in leipzig,12,-60%,<10,∞,-,,42,-5.0
regiocast jobs,12,∞,<10,∞,-,,8.6,
volontariat hamburg,12,∞,<10,∞,-,,83,
seo/sem,12,∞,<10,∞,-,,280,
fubis berlin,12,∞,<10,∞,-,,9.0,
independent publishing,12,-66%,<10,∞,-,,42,-20
mdkk,12,-92%,<10,∞,-,,17,-10
handelskammer leipzig,12,∞,<10,∞,-,,8.2,
uni künzelsau,12,∞,<10,∞,-,,6.2,
uni leipzig marketing,12,,<10,∞,-,,3.3,0.2
it spezialist,<10,∞,<10,∞,-,,,
online media associate programme,<10,∞,<10,∞,-,,,
clown berlin,<10,∞,<10,∞,-,,,
marketing leipzig,<10,∞,<10,∞,-,,,
studentenw,<10,∞,<10,∞,-,,,
fitness first leipzig,<10,∞,<10,∞,-,,,
c# m,<10,∞,<10,∞,-,,,
accra ghana africa,<10,∞,<10,∞,-,,,
modellhobby,<10,∞,<10,∞,-,,,
praktikum wirtschaftsförderung,<10,∞,<10,∞,-,,,
amazonstraße 1,<10,∞,<10,∞,-,,,
career sap,<10,∞,<10,∞,-,,,
französisch leipzig,<10,∞,<10,∞,-,,,
online media associate program,<10,-100%,<10,∞,-,,,
jobimpuuls,<10,∞,<10,∞,-,,,
job student berlin,<10,∞,<10,∞,-,,,
ravensburg uni,<10,∞,<10,∞,-,,,
jobs bundestag,<10,∞,<10,∞,-,,,
bewerbung mit kennziffer,<10,∞,<10,∞,-,,,
clowns,<10,∞,<10,∞,-,,,
marketing services 2011 frankfurt,<10,∞,<10,∞,-,,,
gehalt db systel,<10,∞,<10,∞,-,,,
avanade deutschland gmbh,<10,∞,<10,∞,-,,,
cotesa mittweida,<10,∞,<10,∞,-,,,
ingenieur jobs,<10,∞,<10,∞,-,,,
marketing job frankfurt,<10,∞,<10,∞,-,,,
studentische hilfskraft,<10,∞,<10,∞,-,,,
nairobi jobs,<10,∞,<10,∞,-,,,
online marketing manager,<10,∞,<10,∞,-,,,
london to leipzig,<10,∞,<10,∞,-,,,
gq jobs,<10,∞,<10,∞,-,,,
praktikum englisch,<10,∞,<10,∞,-,,,
java senior,<10,∞,<10,∞,-,,,
job webdesigner,<10,∞,<10,∞,-,,,
radio marktanalyse 2011,<10,∞,<10,∞,-,,,
call center jobs leipzig,<10,∞,<10,∞,-,,,
commerce online,<10,∞,<10,∞,-,,,
praktikum kenia,<10,∞,<10,∞,-,,,
praktikum in london,<10,∞,<10,∞,-,,,
leipzig essen,<10,∞,<10,∞,-,,,
sap support consultant,<10,∞,<10,∞,-,,,
mail icon,<10,∞,<10,∞,-,,,
jobs placement,<10,∞,<10,∞,-,,,
mitteldeutscher verlag,<10,∞,<10,∞,-,,,
developer java,<10,∞,<10,∞,-,,,
pc jobs,<10,∞,<10,∞,-,,,
google summer internship,<10,∞,<10,∞,-,,,
independent publishing hamburg,<10,∞,<10,∞,-,,,
visum für singapur,<10,∞,<10,∞,-,,,
sap ratingen,<10,∞,<10,∞,-,,,
leipzig stuttgart,<10,∞,<10,∞,-,,,
sport und eventmanagement,<10,∞,<10,∞,-,,,
praktika kanada,<10,∞,<10,∞,-,,,
hochschulrektorenkonferenz 2011,<10,∞,<10,∞,-,,,
köhra kartoffelmeister,<10,∞,<10,∞,-,,,
alster ventures gmbh,<10,∞,<10,∞,-,,,
frankfurt münchen,<10,∞,<10,∞,-,,,
jobs ratingen,<10,∞,<10,∞,-,,,
"octopus publishing group im ""foreign rights department""",<10,∞,<10,∞,-,,,
westring 400 kiel,<10,∞,<10,∞,-,,,
münchen praktikum,<10,∞,<10,∞,-,,,
pr career center,<10,∞,<10,∞,-,,,
vollzeit stunden pro woche,<10,∞,<10,∞,-,,,
praktikum an,<10,∞,<10,∞,-,,,
international hr jobs,<10,∞,<10,∞,-,,,
ecg erdgas-consult gmbh,<10,∞,<10,∞,-,,,
uni leipzig career center,<10,∞,<10,∞,-,,,
online media associate summer intern,<10,∞,<10,∞,-,,,
bio mitteldeutschland,<10,∞,<10,∞,-,,,
e commerce marketing,<10,∞,<10,∞,-,,,
"""anja wolkenhauer""",<10,∞,<10,∞,-,,,
uni heidenheim,<10,-100%,<10,∞,-,,,
google jobs bucharest,<10,∞,<10,∞,-,,,
adyton systems,<10,∞,<10,∞,-,,,
trainee sportmarketing,<10,∞,<10,∞,-,,,
reha zentrum weißenfels,<10,∞,<10,∞,-,,,
seo job,<10,∞,<10,∞,-,,,
leipzig hannover,<10,-100%,<10,∞,-,,,
russisch job,<10,-100%,<10,∞,-,,,
mit international,<10,∞,<10,∞,-,,,
jobangebote leipzig,<10,∞,<10,∞,-,,,
ria flex,<10,∞,<10,∞,-,,,
tenerife top training,<10,∞,<10,∞,-,,,
sprachenzentrum uni leipzig,<10,∞,<10,∞,-,,,
fussball.de,<10,∞,<10,∞,-,,,
junior project analyst,<10,∞,<10,∞,-,,,
webgl ide,<10,∞,<10,∞,-,,,
gq redaktion,<10,∞,<10,∞,-,,,
schenker leipzig,<10,∞,<10,∞,-,,,
mercateo services gmbh,<10,∞,<10,∞,-,,,
ingenieur job,<10,-100%,<10,∞,-,,,
volontariat,<10,∞,<10,∞,-,,,
job it,<10,∞,<10,∞,-,,,
verwaltungsreferendariat,<10,∞,<10,∞,-,,,
integrationsarchitektur,<10,∞,<10,∞,-,,,
inbound jobs,<10,∞,<10,∞,-,,,
linden partners,<10,∞,<10,∞,-,,,
sporttherapeut,<10,∞,<10,∞,-,,,
bosch lyon,<10,∞,<10,∞,-,,,
call center agent leipzig,<10,∞,<10,∞,-,,,
verpackungsplaner,<10,∞,<10,∞,-,,,
bezahltes praktikum,<10,∞,<10,∞,-,,,
edarling,<10,∞,<10,∞,-,,,
trainee hamburg,<10,∞,<10,∞,-,,,
functional groups in erynigal,<10,∞,<10,∞,-,,,
übersicht icon,<10,∞,<10,∞,-,,,
deutschmobil bewerbung,<10,∞,<10,∞,-,,,
translation uni leipzig,<10,∞,<10,∞,-,,,
java 2011,<10,∞,<10,∞,-,,,
apps entwicklung,<10,∞,<10,∞,-,,,
trainee recruitment consultant,<10,∞,<10,∞,-,,,
call center inbound leipzig,<10,∞,<10,∞,-,,,
job marketing,<10,-100%,<10,∞,-,,,
mercator.ba,<10,∞,<10,∞,-,,,
praktikum betriebliches gesundheitsmanagement,<10,∞,<10,∞,-,,,
flash design,<10,∞,<10,∞,-,,,
montpellier aix en provence,<10,∞,<10,∞,-,,,
leipzig london,<10,-100%,<10,∞,-,,,
tomtom business solutions,<10,-100%,<10,∞,-,,,
international internships,<10,∞,<10,∞,-,,,
m.in,<10,∞,<10,∞,-,,,
mercateo service gmbh,<10,∞,<10,∞,-,,,
mayato gmbh,<10,∞,<10,∞,-,,,
jobs in halle,<10,∞,<10,∞,-,,,
london leipzig,<10,∞,<10,∞,-,,,
"""sap bw""",<10,∞,<10,∞,-,,,
stimme job,<10,∞,<10,∞,-,,,
"""1 mars 2011""",<10,∞,<10,∞,-,,,
mercator stiftung,<10,-100%,<10,∞,-,,,
it berater gehalt,<10,∞,<10,∞,-,,,
praktikum marktforschung,<10,∞,<10,∞,-,,,
aachen 01.05.2011,<10,∞,<10,∞,-,,,
jobs redbull,<10,∞,<10,∞,-,,,
claudia jordan,<10,∞,<10,∞,-,,,
sap bi jobs,<10,∞,<10,∞,-,,,
stiftung des deutschen volkes,<10,∞,<10,∞,-,,,
berlin praktikum,<10,∞,<10,∞,-,,,
studentische hilfskraft leipzig,<10,∞,<10,∞,-,,,
uni leipzig jobportal,<10,∞,<10,∞,-,,,
stiftung mercator berlin,<10,∞,<10,∞,-,,,
uni leipzig translation,<10,∞,<10,∞,-,,,
jobs in call center,<10,∞,<10,∞,-,,,
google africa jobs,<10,∞,<10,∞,-,,,
job im marketing,<10,∞,<10,∞,-,,,
market data,<10,∞,<10,∞,-,,,
praktikum journalismus,<10,∞,<10,∞,-,,,
jobs in weißenfels,<10,∞,<10,∞,-,,,
networkmarketing,<10,∞,<10,∞,-,,,
social media köln,<10,-100%,<10,∞,-,,,
julia apitzsch,<10,∞,<10,∞,-,,,
jobs software,<10,∞,<10,∞,-,,,
web application php,<10,∞,<10,∞,-,,,
praktikum valencia,<10,∞,<10,∞,-,,,
trainee sales jobs,<10,∞,<10,∞,-,,,
sap r3,<10,-100%,<10,∞,-,,,
gq online,<10,-100%,<10,∞,-,,,
g f 2011,<10,∞,<10,∞,-,,,
freiwilligenarbeit costa rica,<10,∞,<10,∞,-,,,
ics internet consumer services gmbh,<10,∞,<10,∞,-,,,
praktikum grafik,<10,-100%,<10,∞,-,,,
ausbildungsplätze 2011 leipzig,<10,∞,<10,∞,-,,,
media jobs dublin,<10,∞,<10,∞,-,,,
reha zentrum leipzig,<10,∞,<10,∞,-,,,
e-commerce marketing,<10,∞,<10,∞,-,,,
univer,<10,∞,<10,∞,-,,,
köhra kartoffelmeister gmbh,<10,∞,<10,∞,-,,,
auslandspraktika,<10,∞,<10,∞,-,,,
spannende praktikumsplätze,<10,∞,<10,∞,-,,,
vgo cjd,<10,-100%,<10,∞,-,,,
unternehmenskommunikation praktikum,<10,∞,<10,∞,-,,,
jobs fussball,<10,∞,<10,∞,-,,,
red bull graduate program,<10,-100%,<10,∞,-,,,
freie journalisten gesucht,<10,∞,<10,∞,-,,,
job trainee,<10,∞,<10,∞,-,,,
döschwitz,<10,∞,<10,∞,-,,,
arne bleckwenn,<10,∞,<10,∞,-,,,
hr internship uk,<10,∞,<10,∞,-,,,
bosch solar energy arnstadt,<10,∞,<10,∞,-,,,
html5 programmierung,<10,∞,<10,∞,-,,,
deutschmobil,<10,∞,<10,∞,-,,,
sport leipzig,<10,∞,<10,∞,-,,,
diplomarbeit betriebswirtschaft,<10,∞,<10,∞,-,,,
jobs unternehmensberatung,<10,∞,<10,∞,-,,,
awimmoware.de,<10,∞,<10,∞,-,,,
schenker kelsterbach,<10,∞,<10,∞,-,,,
online redaktion,<10,∞,<10,∞,-,,,
app developer jobs,<10,∞,<10,∞,-,,,
tiefensee wolfgang,<10,∞,<10,∞,-,,,
it mitarbeiter,<10,∞,<10,∞,-,,,
elisa felske,<10,∞,<10,∞,-,,,
mdr.de,<10,∞,<10,∞,-,,,
social media career,<10,∞,<10,∞,-,,,
cjd vgo,<10,∞,<10,∞,-,,,
regis24 gmbh,<10,∞,<10,∞,-,,,
erstellung marketingkonzept,<10,∞,<10,∞,-,,,
whm leipzig,<10,∞,<10,∞,-,,,
st-yves,<10,∞,<10,∞,-,,,
voith leipzig,<10,-100%,<10,∞,-,,,
center,<10,∞,<10,∞,-,,,
reuter uni leipzig,<10,∞,<10,∞,-,,,
zapitano,<10,-100%,<10,∞,-,,,
social media job titles,<10,∞,<10,∞,-,,,
job qualitätssicherung,<10,∞,<10,∞,-,,,
unternehmensberatungen münchen,<10,∞,<10,∞,-,,,
solarion,<10,∞,<10,∞,-,,,
financial banking,<10,∞,<10,∞,-,,,
ubersetz,<10,∞,<10,∞,-,,,
lyon-montpellier,<10,∞,<10,∞,-,,,
jobangebote frankfurt,<10,∞,<10,∞,-,,,
job media,<10,∞,<10,∞,-,,,
gf2011,<10,∞,<10,∞,-,,,
localisation,<10,∞,<10,∞,-,,,
banking consultant,<10,∞,<10,∞,-,,,
diplomacy internships,<10,∞,<10,∞,-,,,
job java,<10,∞,<10,∞,-,,,
jobs in braunschweig,<10,∞,<10,∞,-,,,
eva schulze mtl,<10,∞,<10,∞,-,,,
jobs sport,<10,∞,<10,∞,-,,,
callcenter leipzig,<10,∞,<10,∞,-,,,
job in erlangen,<10,∞,<10,∞,-,,,
praktikum im bereich personal,<10,∞,<10,∞,-,,,
ecg leipzig,<10,-100%,<10,∞,-,,,
sales coach,<10,∞,<10,∞,-,,,
buschmais,<10,∞,<10,∞,-,,,
html5 pdf,<10,∞,<10,∞,-,,,
tourismus hamburg,<10,∞,<10,∞,-,,,
ihres angebotes,<10,∞,<10,∞,-,,,
studentenjobs halle,<10,∞,<10,∞,-,,,
job russisch,<10,∞,<10,∞,-,,,
stellenangebote arabisch,<10,∞,<10,∞,-,,,
wissenschaftliche mitarbeit,<10,∞,<10,∞,-,,,
grafik job,<10,∞,<10,∞,-,,,
universität wolfsburg,<10,∞,<10,∞,-,,,
wissenschaftliche hilfskraft leipzig,<10,∞,<10,∞,-,,,
mdr volontariat bewerbung,<10,∞,<10,∞,-,,,
volontariat kommunikation,<10,∞,<10,∞,-,,,
monocom gmbh,<10,∞,<10,∞,-,,,
javascript m,<10,∞,<10,∞,-,,,
annerod gießen,<10,∞,<10,∞,-,,,
online autor,<10,∞,<10,∞,-,,,
junior management,<10,∞,<10,∞,-,,,
pcware leipzig,<10,-100%,<10,∞,-,,,
jobs it,<10,-100%,<10,∞,-,,,
m mail,<10,∞,<10,∞,-,,,
nadine gruner,<10,∞,<10,∞,-,,,
red bull fuschl am see jobs,<10,∞,<10,∞,-,,,
hr internship,<10,∞,<10,∞,-,,,
career center htwk leipzig,<10,∞,<10,∞,-,,,
virtuhcon,<10,∞,<10,∞,-,,,
volkswagen leipzig,<10,∞,<10,∞,-,,,
jobs test,<10,-100%,<10,∞,-,,,
praktikum langweilig,<10,∞,<10,∞,-,,,
tourismus praktikum,<10,∞,<10,∞,-,,,
"""hinrich dreiling""",<10,∞,<10,∞,-,,,
or französisch,<10,∞,<10,∞,-,,,
job red bull,<10,∞,<10,∞,-,,,
marketing berlin,<10,∞,<10,∞,-,,,
banking & insurance,<10,∞,<10,∞,-,,,
ramboll hamburg,<10,∞,<10,∞,-,,,
praktikum human resources,<10,∞,<10,∞,-,,,
uni weiden,<10,∞,<10,∞,-,,,
pr agentur münchen,<10,∞,<10,∞,-,,,
nairobi kenya,<10,∞,<10,∞,-,,,
becomac gmbh leipzig,<10,∞,<10,∞,-,,,
expert people,<10,∞,<10,∞,-,,,
unternehmensberatung münchen,<10,-100%,<10,∞,-,,,
volontariat 2011,<10,∞,<10,∞,-,,,
freiberg tubergak,<10,∞,<10,∞,-,,,
eol fernwald,<10,∞,<10,∞,-,,,
geothermie,<10,∞,<10,∞,-,,,
sap installed base,<10,∞,<10,∞,-,,,
job sap,<10,-100%,<10,∞,-,,,
online media associate google,<10,∞,<10,∞,-,,,
web-marketing,<10,∞,<10,∞,-,,,
red bull graduate program 2011,<10,∞,<10,∞,-,,,
red bull jobs,<10,∞,<10,∞,-,,,
uni graz erasmus,<10,∞,<10,∞,-,,,
trainer gesucht,<10,∞,<10,∞,-,,,
universität freiberg,<10,∞,<10,∞,-,,,
gastro uni leipzig,<10,∞,<10,∞,-,,,
management office,<10,∞,<10,∞,-,,,
business intelligence sas,<10,∞,<10,∞,-,,,
berlin münchen,<10,∞,<10,∞,-,,,
auslandspraktikum kanada,<10,∞,<10,∞,-,,,
junior java entwickler,<10,∞,<10,∞,-,,,
cjd waren müritz,<10,-100%,<10,∞,-,,,
volontariat stuttgart,<10,∞,<10,∞,-,,,
valentina wujan,<10,∞,<10,∞,-,,,
jobs ingenieur,<10,∞,<10,∞,-,,,
pc leipzig,<10,-100%,<10,∞,-,,,
gq de,<10,-100%,<10,∞,-,,,
italienisch muttersprache gesucht,<10,∞,<10,∞,-,,,
handbucherstellung,<10,∞,<10,∞,-,,,
sap walldorf jobs,<10,∞,<10,∞,-,,,
stuttgart hamburg,<10,∞,<10,∞,-,,,
studenten w,<10,∞,<10,∞,-,,,
leipzi,<10,∞,<10,∞,-,,,
tu-freiberg mail,<10,∞,<10,∞,-,,,
imc leipzig,<10,∞,<10,∞,-,,,
praktikum eventmanagement,<10,∞,<10,∞,-,,,
erasmus praktikum,<10,-100%,<10,∞,-,,,
leipzig berlin,<10,∞,<10,∞,-,,,
praktikum online marketing,<10,∞,<10,∞,-,,,
jobangebote berlin,<10,-100%,<10,∞,-,,,
9 h,<10,∞,<10,∞,-,,,
job marktforschung,<10,∞,<10,∞,-,,,
ausschreibung,<10,∞,<10,∞,-,,,
praktikum english,<10,∞,<10,∞,-,,,
network marketing,<10,-100%,<10,∞,-,,,
marsh münchen,<10,∞,<10,∞,-,,,
transaction services,<10,∞,<10,∞,-,,,
junior consultant,<10,∞,<10,∞,-,,,
weierhof bolanden,<10,∞,<10,∞,-,,,
jobs assistenz,<10,∞,<10,∞,-,,,
spreadshirt,<10,∞,<10,∞,-,,,
webentwickler frontend,<10,∞,<10,∞,-,,,
google online media associate intern,<10,∞,<10,∞,-,,,
mba marketing,<10,∞,<10,∞,-,,,
interfacedesigner,<10,∞,<10,∞,-,,,
praktikum krankenhaus berlin,<10,∞,<10,∞,-,,,
java trainee,<10,∞,<10,∞,-,,,
praktikum marketing,<10,∞,<10,∞,-,,,
fotoshop leipzig,<10,∞,<10,∞,-,,,
ovb 2011,<10,∞,<10,∞,-,,,
prinovis intranet,<10,∞,<10,∞,-,,,
bw bi,<10,∞,<10,∞,-,,,
job am pc,<10,∞,<10,∞,-,,,
praktikum übersetzungsbüro,<10,∞,<10,∞,-,,,
handelshochschule leipzig,<10,∞,<10,∞,-,,,
fahrzeuglogistik,<10,∞,<10,∞,-,,,
