All,All locations,"Sep 9, 2011 to Oct 9, 2011",

Query,Impressions,Change,Clicks,Change,CTR,Change,Avg. position,Change
hollister leipzig,"1,000",,<10,-100%,-,-3.0,9.2,-0.8
trivag,700,75%,<10,∞,-,,7.6,0.6
hollister nova eventis,500,-50%,<10,∞,-,,7.3,1.0
trivage,320,∞,<10,∞,-,,6.8,
astrazeneca wedel,250,"1,036%",<10,∞,-,,10,
umweltbundesamt dessau-roßlau,250,317%,<10,∞,-,,9.5,2.0
susi partners,200,33%,<10,∞,-,,11,-3.0
shk leipzig 2011,170,673%,<10,∞,-,,6.5,1.0
jp kom,170,89%,<10,∞,-,,7.6,1.0
jobportal,170,183%,<10,∞,-,,34,-1.0
career center uni leipzig,170,673%,<10,∞,-,,3.2,1.0
proagil mittweida,170,386%,<10,∞,-,,9.4,0.7
avanade,150,,<10,∞,-,,9.4,-3.0
trivago düsseldorf,110,83%,<10,∞,-,,8.0,0.4
tchibo jobs,110,83%,<10,∞,-,,33,-10
ddb tribal berlin,110,-27%,<10,∞,-,,8.2,
uni leipzig sport,110,588%,<10,∞,-,,2.4,2.0
ddb berlin,90,309%,<10,∞,-,,11,0.2
zerebro internet gmbh,90,∞,<10,∞,-,,14,
nova eventis hollister,90,-55%,<10,∞,-,,9.6,-1.0
transporeon ulm,70,40%,<10,∞,-,,6.9,-0.5
freelancer gesucht,70,40%,<10,∞,-,,37,8.0
captrain deutschland gmbh,70,100%,<10,∞,-,,9.6,0.2
deutscher olympischer sportbund frankfurt,70,40%,<10,∞,-,,4.9,0.4
mercateo köthen,70,17%,<10,∞,-,,54,-8.0
job portal,70,133%,<10,∞,-,,51,-7.0
jobs management,70,337%,<10,∞,-,,88,6.0
werkstudent,70,40%,<10,∞,-,,60,5.0
sprachenzentrum uni leipzig,70,483%,<10,∞,-,,5.7,0.3
übersetzer deutsch italienisch,60,-33%,<10,∞,-,,64,20
ahk algerien,60,,<10,∞,-,,3.3,
assindia international,60,∞,<10,∞,-,,9.4,
career service chemnitz,60,∞,<10,∞,-,,11,
newsletter marketing,50,43%,<10,∞,-,,72,10
praktikum marketing,50,127%,<10,∞,-,,57,10
bezahltes praktikum,50,∞,<10,∞,-,,39,
susi partners ag,50,67%,<10,∞,-,,9.6,-0.7
nebenjob leipzig,50,317%,<10,∞,-,,42,-10
ico uni,50,∞,<10,∞,-,,16,
regiocast leipzig,50,317%,<10,∞,-,,7.1,0.9
nebenjobs leipzig,35,∞,<10,∞,-,,77,
pressemonitor.de,35,59%,<10,∞,-,,4.5,-0.2
jobs sportwissenschaftler,35,17%,<10,∞,-,,44,-8.0
ddb tribal group,35,17%,<10,∞,-,,4.4,1.0
mdr volontariat,35,∞,<10,∞,-,,8.7,
übersetzungen deutsch italienisch,35,-30%,<10,∞,-,,90,-30
assistenzarzt,35,∞,<10,∞,-,,82,
barzahlen.com,35,∞,<10,∞,-,,7.8,
pdf,35,,<10,∞,-,,100,20
astra zeneca wedel,35,∞,<10,∞,-,,9.1,
ifht rwth,35,59%,<10,∞,-,,9.7,-2.0
prostep darmstadt,35,∞,<10,∞,-,,9.8,
customer business development,35,∞,<10,∞,-,,13,
praktikumsplatz,35,119%,<10,∞,-,,70,60
hollister leipzig nova eventis,35,-50%,<10,∞,-,,9.4,0.4
trainee hamburg,35,17%,<10,∞,-,,65,-5.0
jobs in oslo,35,192%,<10,∞,-,,70,5.0
ecg leipzig,35,119%,<10,∞,-,,9.6,8.0
buchmesse jobs,35,∞,<10,∞,-,,8.5,
trainee bmw,30,∞,<10,∞,-,,9.7,
awimmoware,30,87%,<10,∞,-,,52,7.0
management jobs,30,∞,<10,∞,-,,70,
jobs it,30,∞,<10,∞,-,,56,
brand connection,30,150%,<10,∞,-,,8.5,2.0
leipzig hollister,30,∞,<10,∞,-,,7.1,
itaricon,30,,<10,∞,-,,23,0.3
chemni,30,∞,<10,∞,-,,9.9,
