URL,Detail,Linked From,Detected
http://wwwdup.uni-leipzig.de/jobportal/job/1705?from=Leipzig*&PHPSESSID=bitv9022qd2lghe58m5cs0lg75,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2180?from=leipzig*&PHPSESSID=2j9k2evod9e0cgrfcgjrl22370,404 (Not found),2 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2180?from=leipzig*&PHPSESSID=i7cpcdru4r5u06ne1ie0efn4d2,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2177?from=cc%3Asprdnetag&PHPSESSID=h4ojb455qod0mb44dfvfjtgbt4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2180?from=leipzig*&PHPSESSID=qcubbc09ikagn3h2q9j4te1eg4,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/1965?from=praktik*&PHPSESSID=d06v7b672mhn8de0jjh9oolen0,404 (Not found),2 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/1966?from=leipzig*&PHPSESSID=955lvgqukrk1fs3nu8c3ba0q13,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/1706?from=english+OR+englisch+&PHPSESSID=0c20bedt7dv4oqrut5rgc8iom2,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/1490?from=public*+relation*&PHPSESSID=ogin79qfcgsmk0kj0aslgbksj1,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/1454?from=leipzig*&PHPSESSID=u997jh1vluhdkqs6q2hd5uuta1,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/1490?from=cc%3Aicopartnersltd&PHPSESSID=uq2bub5v8poee238adfhjm4h87,404 (Not found),2 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2189?from=praktik*&PHPSESSID=7qscvm9hjtu6gqpma87d96qk70,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2075?from=leipzig*&PHPSESSID=955lvgqukrk1fs3nu8c3ba0q13,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2331?from=werkstudent*&PHPSESSID=m4e8o1nag307una52ou10l6ti4,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2339?from=english+OR+englisch&PHPSESSID=bakf17duaovpjtpg17ka2ppjp6,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2340?from=english+OR+englisch&PHPSESSID=bakf17duaovpjtpg17ka2ppjp6,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2341?from=english+OR+englisch&PHPSESSID=bakf17duaovpjtpg17ka2ppjp6,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2340?from=java+-javascript&PHPSESSID=hdcjjt6jmsb1afp9q25k22r4v1,404 (Not found),2 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/2339?PHPSESSID=37irh468e68bj4v8upco28r5c3,404 (Not found),1 pages,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/1839?PHPSESSID=9lr6q660cul1h42i87g5ghf3n1,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=div.&PHPSESSID=5i8bgbhbja023j45t4f2givvq2&size=10&PHPSESSID=5i8bgbhbja023j45t4f2givvq2,404 (Not found),unavailable,10/9/11
http://wwwdup.uni-leipzig.de/jobportal/job/index?page=1&q=consult*&PHPSESSID=hdh38j9m36ghsb9hosbqu31p50&size=50&PHPSESSID=hdh38j9m36ghsb9hosbqu31p50,404 (Not found),1 pages,10/9/11
